 dia mes anio hora min sec latitud longitud prof mag
171 2017 11 29 06 52 39.520 16.89 -100.37 7.0 1.77
172 2017 11 29 08 26 20.020 16.26 -100.91 16.3 1.8
173 2017 11 29 09 44 01.440 16.26 -100.91 16.3 1.88
174 2017 11 29 11 05 41.200 16.27 -100.86 19.4 1.57
175 2017 11 29 12 13 04.040 16.9 -100.26 5.0 3.18
176 2017 11 29 12 18 18.160 16.27 -100.86 19.4 1.76
177 2017 11 29 14 08 21.400 16.27 -100.86 19.4 2.03
178 2017 11 29 14 36 16.220 16.3 -100.77 10.0 1.84
179 2017 11 29 14 45 07.120 16.3 -100.77 10.0 1.94
180 2017 11 29 14 54 52.360 16.3 -100.77 10.0 2.07
181 2017 11 29 15 17 19.380 16.3 -100.77 10.0 1.85
182 2017 11 29 16 54 19.100 16.3 -100.77 10.0 2.94
183 2017 11 29 17 39 22.540 16.3 -100.77 10.0 2.13
184 2017 11 29 18 15 51.580 16.3 -100.77 10.0 1.94
185 2017 11 29 19 02 52.980 16.3 -100.77 10.0 1.75
186 2017 11 29 20 22 39.840 17.24 -101.17 46.3 1.79
187 2017 11 29 21 03 10.280 17.44 -101.53 27.3 2.45
188 2017 11 29 23 09 10.440 17.18 -101.17 44.3 1.75
189 2017 11 30 00 01 31.660 17.72 -100.22 111.4 0.82
190 2017 11 30 00 26 25.720 17.58 -101.36 45.6 1.66
191 2017 11 30 00 31 51.100 16.27 -100.86 19.4 1.33
192 2017 11 30 00 32 28.860 17.58 -101.36 45.6 2.29
193 2017 11 30 02 13 33.800 17.24 -101.17 46.3 1.59
194 2017 11 30 02 31 20.520 16.27 -100.86 19.4 2.53
195 2017 11 30 03 07 00.200 17.09 -100.64 11.0 2.24
196 2017 11 30 08 18 43.320 16.59 -100.5 5.0 2.23
197 2017 11 30 13 42 28.120 17.12 -100.24 39.5 2.18
198 2017 11 30 16 50 24.840 16.3 -100.77 10.0 1.79
199 2017 11 30 17 18 36.980 16.27 -100.86 19.4 2.05
200 2017 11 30 17 23 15.200 16.3 -100.77 10.0 2.27
201 2017 11 30 17 25 17.140 16.3 -100.77 10.0 1.74
202 2017 11 30 17 31 46.100 16.3 -100.77 10.0 1.76
203 2017 11 30 18 02 59.100 16.3 -100.77 10.0 1.81
